group_num,arabic_num,dots_num,pshare_conf1,c1_agreement,participant_sharing,c1,conf1,c2,conf2,correct_resp,c1_acc,c2_acc,conf_update,source_info,update,p_num,group_affiliation,resentie_v,resentie_r,attach_r,attach_v,identif_v,identif_r,favoritism_score,percent_agree_pshare,accuracy_over_time,percent_pshare_accuracy,percent_agree_pshare_accurate,scaled_update,trial_number,actual_p_num,local_percent_pshare_accuracy,local_percent_agree_pshare,local_accuracy_over_time,local_percent_agree_pshare_accurate,prefered_group
8,42.0,47.0,10,agree,4,1,5,1,5,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,1.0,0.5,1.0,1.0,0.0,1,1,1.0,1.0,0.5,1.0,1
8,56.0,52.0,30,disagree,4,1,25,1,20,0,0,0,-5,outgroup,0,1,green,70,50,0,0,30,0,50,0.5,0.3333,1.0,0.5,-0.2,5,1,1.0,0.5,0.3333,0.5,1
8,54.0,59.0,50,agree,2,1,25,1,50,1,1,1,25,ingroup,0,1,green,70,50,0,0,30,0,50,1.0,0.5,1.0,1.0,0.3333333333333333,7,1,1.0,1.0,0.5,1.0,1
8,66.0,61.0,20,disagree,2,1,50,1,40,0,0,0,-10,ingroup,0,1,green,70,50,0,0,30,0,50,0.5,0.4444,1.0,0.5,-0.2,8,1,1.0,0.5,0.4444,0.5,1
8,52.0,50.0,40,agree,3,0,50,0,50,0,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,1.0,0.5,1.0,1.0,0.0,9,1,1.0,1.0,0.5,1.0,1
8,63.0,65.0,10,agree,2,1,50,1,50,1,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.5455,1.0,0.6667,0.0,10,1,1.0,0.6667,0.5556,0.6667,1
8,69.0,64.0,10,agree,3,1,25,1,25,0,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,1.0,0.5,0.5,0.5,0.0,11,1,0.5,1.0,0.5556,0.5,1
8,67.0,64.0,40,agree,3,0,5,0,10,0,1,1,5,outgroup,0,1,green,70,50,0,0,30,0,50,1.0,0.5385,0.6667,0.6667,0.05263157894736842,12,1,0.6667,1.0,0.5556,0.6667,1
8,54.0,57.0,40,disagree,3,1,10,1,10,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.75,0.5714,0.5,0.5,0.0,13,1,0.5,0.75,0.6667,0.5,1
8,64.0,59.0,10,agree,4,1,10,1,10,0,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.5333,0.6667,0.3333,0.0,14,1,0.6667,0.6667,0.6667,0.3333,1
8,63.0,62.0,30,agree,3,1,50,1,50,0,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.8,0.5,0.4,0.4,0.0,15,1,0.4,0.8,0.6667,0.4,1
8,56.0,59.0,40,disagree,3,0,5,0,5,1,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.4706,0.5,0.3333,0.0,16,1,0.5,0.6667,0.5556,0.3333,1
8,61.0,59.0,50,agree,2,1,15,1,40,0,0,0,25,ingroup,0,1,green,70,50,0,0,30,0,50,0.75,0.4444,0.75,0.5,0.29411764705882354,17,1,0.75,0.75,0.4444,0.5,1
8,62.0,59.0,10,agree,2,0,50,0,50,0,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.8,0.4737,0.8,0.6,0.0,18,1,0.8,0.8,0.4444,0.6,1
8,65.0,66.0,30,agree,2,1,10,1,50,1,1,1,40,ingroup,0,1,green,70,50,0,0,30,0,50,0.8333,0.5,0.8333,0.6667,0.4444444444444444,19,1,0.8333,0.8333,0.4444,0.6667,1
8,55.0,56.0,20,disagree,2,1,40,0,10,1,1,0,-30,ingroup,1,1,green,70,50,0,0,30,0,50,0.7143,0.5,0.7143,0.5714,-0.75,21,1,0.7143,0.7143,0.5556,0.5714,1
8,49.0,56.0,30,agree,3,1,10,1,20,1,1,1,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.7143,0.5,0.5714,0.4286,0.1111111111111111,23,1,0.5714,0.7143,0.3333,0.4286,1
8,61.0,63.0,10,disagree,2,1,5,1,5,1,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.625,0.52,0.625,0.5,0.0,24,1,0.625,0.625,0.4444,0.5,1
8,84.0,78.0,40,disagree,3,1,40,1,30,0,0,0,-10,outgroup,0,1,green,70,50,0,0,30,0,50,0.625,0.5,0.625,0.375,-0.25,25,1,0.625,0.625,0.5556,0.375,1
8,55.0,56.0,10,disagree,4,1,50,1,50,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.5,0.5185,0.5,0.25,0.0,26,1,0.5,0.5,0.5556,0.25,1
8,56.0,58.0,40,agree,3,1,50,1,60,1,1,1,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.5172,0.6667,0.4444,0.2,28,1,0.6667,0.6667,0.5556,0.4444,1
8,59.0,60.0,40,disagree,3,1,10,1,5,1,1,1,-5,outgroup,0,1,green,70,50,0,0,30,0,50,0.6,0.5333,0.6,0.4,-0.5,29,1,0.6,0.6,0.5556,0.4,1
8,54.0,50.0,20,disagree,3,0,50,0,50,0,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.5455,0.5484,0.5455,0.3636,0.0,30,1,0.5556,0.5556,0.5556,0.3333,1
8,71.0,73.0,10,disagree,2,1,50,1,40,1,1,1,-10,ingroup,0,1,green,70,50,0,0,30,0,50,0.5556,0.5625,0.5556,0.4444,-0.2,31,1,0.5556,0.5556,0.6667,0.4444,1
8,56.0,60.0,5,disagree,2,1,70,1,70,1,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.5,0.5588,0.5,0.4,0.0,33,1,0.5,0.5,0.6667,0.4,1
